Name,Expression,Time
Speaker,Sad,[11520.0]
Speaker,Sad,[11560.0]
Speaker,Sad,[11600.0]
Speaker,Sad,[11640.0]
Speaker,Sad,[11680.0]
Speaker,Sad,[11720.0]
Speaker,Sad,[11760.0]
Speaker,Sad,[11800.0]
Speaker,Sad,[11840.0]
Speaker,Sad,[11880.0]
Speaker,Sad,[11920.0]
Speaker,Sad,[11960.0]
Speaker,Sad,[12000.0]
Speaker,Sad,[12040.000000000002]
Speaker,Sad,[12080.0]
Speaker,Sad,[12120.000000000002]
Speaker,Sad,[12160.0]
Speaker,Sad,[12200.000000000002]
Speaker,Sad,[12240.0]
Speaker,Sad,[12280.000000000002]
Speaker,Sad,[12320.0]
Speaker,Sad,[12360.0]
Speaker,Sad,[12400.0]
Speaker,Sad,[12440.0]
Speaker,Sad,[12480.0]
Speaker,Neutral,[12520.0]
Speaker,Neutral,[12560.0]
Speaker,Neutral,[12600.0]
Speaker,Sad,[12640.0]
Speaker,Sad,[12680.0]
Speaker,Sad,[12720.0]
Speaker,Sad,[12760.0]
Speaker,Sad,[12800.0]
Speaker,Sad,[12840.0]
Speaker,Sad,[12880.0]
Speaker,Sad,[12920.0]
Speaker,Fear,[12960.0]
Speaker,Neutral,[13000.0]
Speaker,Fear,[13040.000000000002]
Speaker,Fear,[13080.0]
Speaker,Fear,[13120.000000000002]
Speaker,Surprise,[13160.0]
Speaker,Fear,[13200.000000000002]
Speaker,Fear,[13240.0]
Speaker,Neutral,[13280.000000000002]
Speaker,Surprise,[13320.0]
Speaker,Surprise,[13360.0]
Speaker,Happy,[13400.0]
Speaker,Surprise,[13440.0]
Speaker,Surprise,[13480.0]
Speaker,Sad,[13520.0]
Speaker,Sad,[13560.0]
Speaker,Sad,[13600.0]
Speaker,Neutral,[13640.0]
Speaker,Neutral,[13680.0]
Speaker,Neutral,[13720.0]
Speaker,Neutral,[13760.0]
Speaker,Neutral,[13800.0]
Speaker,Sad,[13840.0]
Speaker,Neutral,[13880.0]
Speaker,Neutral,[13920.0]
Speaker,Surprise,[13960.0]
Speaker,Neutral,[14000.0]
Speaker,Neutral,[14040.000000000002]
Speaker,Neutral,[14080.0]
Speaker,Neutral,[14120.000000000002]
Speaker,Neutral,[14160.0]
Speaker,Happy,[14200.000000000002]
Speaker,Happy,[14240.0]
Speaker,Happy,[14280.000000000002]
Speaker,Happy,[14320.0]
Speaker,Happy,[14360.0]
Speaker,Neutral,[14400.0]
Speaker,Neutral,[14440.0]
Speaker,Neutral,[14480.0]
Speaker,Neutral,[14520.0]
Speaker,Neutral,[14560.0]
Speaker,Neutral,[14600.0]
Speaker,Sad,[14640.0]
Speaker,Sad,[14680.0]
Speaker,Sad,[14720.0]
Speaker,Sad,[14760.0]
Speaker,Sad,[14800.0]
Speaker,Sad,[14840.0]
Speaker,Sad,[14880.0]
Speaker,Sad,[14920.0]
Speaker,Sad,[14960.0]
Speaker,Sad,[15000.0]
Speaker,Sad,[15040.000000000002]
Speaker,Sad,[15080.0]
Speaker,Sad,[15120.000000000002]
Speaker,Sad,[15160.0]
Speaker,Sad,[15200.000000000002]
Speaker,Sad,[15240.0]
Speaker,Happy,[15280.000000000002]
Speaker,Sad,[15280.000000000002]
Speaker,Sad,[15280.000000000002]
Speaker,Happy,[15320.0]
Speaker,Sad,[15320.0]
Speaker,Sad,[15320.0]
Speaker,Happy,[15360.0]
Speaker,Sad,[15360.0]
Speaker,Happy,[15400.0]
Speaker,Sad,[15400.0]
Speaker,Sad,[15400.0]
Speaker,Happy,[15440.0]
Speaker,Sad,[15440.0]
Speaker,Sad,[15440.0]
Speaker,Happy,[15480.0]
Speaker,Sad,[15480.0]
Speaker,Sad,[15480.0]
Speaker,Happy,[15520.0]
Speaker,Sad,[15520.0]
Speaker,Sad,[15520.0]
