Name,Expression,Time
Speaker,Sad,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Sad,[0.0]
Speaker,Sad,[0.0]
Speaker,Sad,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
Speaker,Neutral,[0.0]
